Route,Fare
North Ave-Quezon Ave,10.00
North Ave-GMA Kamuning,10.00
North Ave-Araneta-Cubao,13.00
North Ave-Santolan-Annapolis,13.00
North Ave-Ortigas,16.00
North Ave-Shaw Blvd,16.00
North Ave-Boni,16.00
North Ave-Guadalupe,19.00
North Ave-Buendia,19.00
North Ave-Ayala,19.00
North Ave-Magallanes,22.00
North Ave-Taft Ave,22.00
Quezon Ave-North Ave,10.00
Quezon Ave-GMA Kamuning,10.00
Quezon Ave-Araneta-Cubao,10.00
Quezon Ave-Santolan-Annapolis,13.00
Quezon Ave-Ortigas,13.00
Quezon Ave-Shaw Blvd,16.00
Quezon Ave-Boni,16.00
Quezon Ave-Guadalupe,16.00
Quezon Ave-Buendia,19.00
Quezon Ave-Ayala,19.00
Quezon Ave-Magallanes,19.00
Quezon Ave-Taft Ave,22.00
GMA Kamuning-North Ave,10.00
GMA Kamuning-Quezon Ave,10.00
GMA Kamuning-Araneta-Cubao,10.00
GMA Kamuning-Santolan-Annapolis,10.00
GMA Kamuning-Ortigas,13.00
GMA Kamuning-Shaw Blvd,13.00
GMA Kamuning-Boni,16.00
GMA Kamuning-Guadalupe,16.00
GMA Kamuning-Buendia,16.00
GMA Kamuning-Ayala,19.00
GMA Kamuning-Magallanes,19.00
GMA Kamuning-Taft Ave,19.00
Araneta-Cubao-North Ave,13.00
Araneta-Cubao-Quezon Ave,10.00
Araneta-Cubao-GMA Kamuning,10.00
Araneta-Cubao-Santolan-Annapolis,10.00
Araneta-Cubao-Ortigas,10.00
Araneta-Cubao-Shaw Blvd,13.00
Araneta-Cubao-Boni,13.00
Araneta-Cubao-Guadalupe,16.00
Araneta-Cubao-Buendia,16.00
Araneta-Cubao-Ayala,16.00
Araneta-Cubao-Magallanes,19.00
Araneta-Cubao-Taft Ave,19.00
Santolan-Annapolis-North Ave,13.00
Santolan-Annapolis-Quezon Ave,13.00
Santolan-Annapolis-GMA Kamuning,10.00
Santolan-Annapolis-Araneta-Cubao,10.00
Santolan-Annapolis-Ortigas,10.00
Santolan-Annapolis-Shaw Blvd,10.00
Santolan-Annapolis-Boni,13.00
Santolan-Annapolis-Guadalupe,13.00
Santolan-Annapolis-Buendia,16.00
Santolan-Annapolis-Ayala,16.00
Santolan-Annapolis-Magallanes,16.00
Santolan-Annapolis-Taft Ave,19.00
Ortigas-North Ave,16.00
Ortigas-Quezon Ave,13.00
Ortigas-GMA Kamuning,13.00
Ortigas-Araneta-Cubao,10.00
Ortigas-Santolan-Annapolis,10.00
Ortigas-Shaw Blvd,10.00
Ortigas-Boni,10.00
Ortigas-Guadalupe,13.00
Ortigas-Buendia,13.00
Ortigas-Ayala,16.00
Ortigas-Magallanes,16.00
Ortigas-Taft Ave,16.00
Shaw Blvd-North Ave,16.00
Shaw Blvd-Quezon Ave,16.00
Shaw Blvd-GMA Kamuning,13.00
Shaw Blvd-Araneta-Cubao,13.00
Shaw Blvd-Santolan-Annapolis,10.00
Shaw Blvd-Ortigas,10.00
Shaw Blvd-Boni,10.00
Shaw Blvd-Guadalupe,10.00
Shaw Blvd-Buendia,13.00
Shaw Blvd-Ayala,13.00
Shaw Blvd-Magallanes,16.00
Shaw Blvd-Taft Ave,16.00
Boni-North Ave,16.00
