Route,Fare
North Ave-Quezon Ave,13.00
North Ave-GMA Kamuning,13.00
North Ave-Araneta-Cubao,16.00
North Ave-Santolan-Annapolis,16.00
North Ave-Ortigas,20.00
North Ave-Shaw Blvd,20.00
North Ave-Boni,20.00
North Ave-Guadalupe,24.00
North Ave-Buendia,24.00
North Ave-Ayala,24.00
North Ave-Magallanes,28.00
North Ave-Taft Ave,28.00
Quezon Ave-North Ave,13.00
Quezon Ave-GMA Kamuning,13.00
Quezon Ave-Araneta-Cubao,13.00
Quezon Ave-Santolan-Annapolis,16.00
Quezon Ave-Ortigas,16.00
Quezon Ave-Shaw Blvd,20.00
Quezon Ave-Boni,20.00
Quezon Ave-Guadalupe,20.00
Quezon Ave-Buendia,24.00
Quezon Ave-Ayala,24.00
Quezon Ave-Magallanes,24.00
Quezon Ave-Taft Ave,28.00
GMA Kamuning-North Ave,13.00
GMA Kamuning-Quezon Ave,13.00
GMA Kamuning-Araneta-Cubao,13.00
GMA Kamuning-Santolan-Annapolis,13.00
GMA Kamuning-Ortigas,16.00
GMA Kamuning-Shaw Blvd,16.00
GMA Kamuning-Boni,20.00
GMA Kamuning-Guadalupe,20.00
GMA Kamuning-Buendia,20.00
GMA Kamuning-Ayala,24.00
GMA Kamuning-Magallanes,24.00
GMA Kamuning-Taft Ave,24.00
Araneta-Cubao-North Ave,16.00
Araneta-Cubao-Quezon Ave,13.00
Araneta-Cubao-GMA Kamuning,13.00
Araneta-Cubao-Santolan-Annapolis,13.00
Araneta-Cubao-Ortigas,13.00
Araneta-Cubao-Shaw Blvd,16.00
Araneta-Cubao-Boni,16.00
Araneta-Cubao-Guadalupe,20.00
Araneta-Cubao-Buendia,20.00
Araneta-Cubao-Ayala,20.00
Araneta-Cubao-Magallanes,24.00
Araneta-Cubao-Taft Ave,24.00
Santolan-Annapolis-North Ave,16.00
Santolan-Annapolis-Quezon Ave,16.00
Santolan-Annapolis-GMA Kamuning,13.00
Santolan-Annapolis-Araneta-Cubao,13.00
Santolan-Annapolis-Ortigas,13.00
